reporting_month,reporting_month_label,reporting_quarter,monthly_total_bed_days,avg_weekly_bed_days,max_weekly_bed_days,reporting_points
2025-04-01,Apr 2025,Q1,627316.0,125463.2,130965.0,5
2025-05-01,May 2025,Q1,507701.0,126925.25,135267.0,4
2025-06-01,Jun 2025,Q1,502128.0,125532.0,129174.0,4
2025-07-01,Jul 2025,Q2,631434.0,126286.8,128446.0,5
2025-08-01,Aug 2025,Q2,534963.0,133740.75,136610.0,4
2025-09-01,Sep 2025,Q2,542636.0,135659.0,136318.0,4
2025-10-01,Oct 2025,Q3,668551.0,133710.2,135220.0,5
2025-11-01,Nov 2025,Q3,519229.0,129807.25,130329.0,4
2025-12-01,Dec 2025,Q3,485059.0,121264.75,125365.0,4
2026-01-01,Jan 2026,Q4,647816.0,129563.2,132295.0,5
2026-02-01,Feb 2026,Q4,531146.0,132786.5,134062.0,4
2026-03-01,Mar 2026,Q4,546391.0,136597.75,137816.0,4
