reporting_month,reporting_month_label,reporting_quarter,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate
2025-04-01,Apr 2025,Q1,22541.633333333335,9801.433333333332,12740.2,676249.0,294043.0,382206.0,56.51853089616399,43.48146910383601
2025-05-01,May 2025,Q1,22602.935483870966,9930.741935483871,12672.193548387097,700691.0,307853.0,392838.0,56.06437074259553,43.93562925740447
2025-06-01,Jun 2025,Q1,22004.333333333332,9933.066666666668,12071.266666666666,660130.0,297992.0,362138.0,54.858588459848825,45.14141154015118
2025-07-01,Jul 2025,Q2,22757.677419354837,10205.225806451614,12552.451612903225,705488.0,316362.0,389126.0,55.15699770938698,44.84300229061302
2025-08-01,Aug 2025,Q2,22129.451612903227,9594.225806451614,12535.225806451614,686013.0,297421.0,388592.0,56.64499069259621,43.3550093074038
2025-09-01,Sep 2025,Q2,22653.866666666665,9839.133333333333,12814.733333333334,679616.0,295174.0,384442.0,56.56753225350787,43.43246774649214
2025-10-01,Oct 2025,Q3,23200.516129032258,10083.58064516129,13116.935483870968,719216.0,312591.0,406625.0,56.537257235656604,43.462742764343396
2025-11-01,Nov 2025,Q3,22732.2,9552.866666666667,13179.333333333334,681966.0,286586.0,395380.0,57.97649736203858,42.02350263796142
2025-12-01,Dec 2025,Q3,22470.8064516129,9632.516129032258,12838.290322580646,696595.0,298608.0,397987.0,57.133197912703935,42.866802087296065
2026-01-01,Jan 2026,Q4,23318.451612903227,9495.58064516129,13822.870967741936,722872.0,294363.0,428509.0,59.278682809681385,40.721317190318615
2026-02-01,Feb 2026,Q4,23392.678571428572,9504.67857142857,13888.0,654995.0,266131.0,388864.0,59.369002816815396,40.630997183184604
2026-03-01,Mar 2026,Q4,22937.25806451613,9383.451612903225,13553.806451612903,711055.0,290887.0,420168.0,59.09078763246163,40.90921236753838
